env.cp,z,spot size,0.05,0.95,OTU,,KINGDOM,PHYLUM,CLASS,ORDER,FAMILY,GENUS,FINAL
7.1,23.87,4.774,6.96,7.31,42348,Thalassiosirophycidae,Chromista,Bacillariophyta,Coscinodiscophyceae,,Thalassiosirophycidae,,
7.1,23.31,4.662,6.96,7.31,42534,Thalassiosira,Chromista,Bacillariophyta,Coscinodiscophyceae,,Thalassiosirophycidae,Thalassiosira,
7.1,22.67,4.534,6.96,7.31,38394,Stramenopiles,Chromista,Stramenopiles,,,,,
7.1,22.59,4.518,6.96,7.31,31948,Gastrotricha,Metazoa,Gastrotricha,,,,,
7.1,22.49,4.498,6.96,7.32,16582,Annelida,Metazoa,Annelida,,,,,
7.01,22.15,4.43,6.96,7.53,56758,Heterophrys1,Chromista,Heliozoa,Centrohelea,Centrohelida,Heterophryidae,Heterophrys,
7.1,21.49,4.298,6.96,7.31,49400,Cercozoa,Rhizaria,Cercozoa,,,,,
7.01,21.46,4.292,6.96,7.31,46656,Oblongichytrium,Chromista,Labyrinthista,Labyrinthulea,Labyrinthulida,Thraustochytriidae,Oblongichytrium,
7.01,21.32,4.264,6.96,7.69,54495,Colpodellidae,Chromoalveolata,Alveolata(infK),Peridinea,Colpodellida,Colpodellidae,,Colpodellidae
7.31,20.54,4.108,6.96,7.42,60580,Micronuclearia1,Protozoa,Apusozoa,,Rigifilida,,Micronuclearia,
7.01,20.38,4.076,6.96,7.53,16274,Ploimida,Metazoa,Rotifera,Eurotatoria,Ploimida,,,
7.055,19.32,3.864,6.96,7.31,55703,Ciliophora,Chromoalveolata,Ciliophora,,,,,Ciliophora
7.1,19.21,3.842,6.96,7.31,8243,Rotaliida1,Rhizaria,Foraminifera,,Rotaliida,,,
7.31,18.88,3.776,7.1,7.74,60554,Micronuclearia2,Protozoa,Apusozoa,,Rigifilida,,Micronuclearia,
7.055,18.7,3.74,6.96,7.53,56765,Heterophrys2,Chromista,Heliozoa,Centrohelea,Centrohelida,Heterophryidae,Heterophrys,
7.31,18.61,3.722,6.96,7.69,8214,Rotaliida2,Rhizaria,Foraminifera,,Rotaliida,,,
7.01,18.56,3.712,6.96,7.42,53792,Dinophyceae1,Chromoalveolata,Dinoflagellata,Dinophyceae,,,,Dinophyceae
7.53,18.52,3.704,7.01,7.69,60546,Micronuclearia3,Protozoa,Apusozoa,,Rigifilida,,Micronuclearia,
7.055,18.41,3.682,6.96,7.31,26792,Bicosoecida,Protozoa,Sarcomastigophora,Zoomastigophora,Choanoflagellida,Bicosoecida,,
7.055,18.33,3.666,6.96,7.31,53757,Dinophyceae2,Chromoalveolata,Dinoflagellata,Dinophyceae,,,,Dinophyceae
