env.cp,z,spot size,0.05,0.95,,KINGDOM,PHYLUM,CLASS,ORDER,FAMILY,GENUS,FINAL
7.96,15.84,3.168,7.83,8.16,Rotaliida1,Rhizaria,Foraminifera,,Rotaliida,,,,
8.07,15.66,3.132,7.53,8.08,Rotaliida2,Rhizaria,Foraminifera,,Rotaliida,,,,
8.38,15.55,3.11,8.16,8.385,Dinophyceae,Chromoalveolata,Dinoflagellata,Dinophyceae,,,,,
8.16,15.39,3.078,8.08,8.29,Maxillopoda,Metazoa,Arthropoda,Maxillopoda,,,,,
8,15.09,3.018,7.96,8.16,Rotaliida3,Rhizaria,Foraminifera,,Rotaliida,,,,
8.07,14.9,2.98,7.96,8.08,Lemnicola,Chromista,Bacillariophyta,Bacillariophyceae,,Bacillariophycidae,Lemnicola,,
8.16,14.89,2.978,8.035,8.215,Ciliophora,Chromoalveolata,Ciliophora,,,,,Ciliophora,
8.305,14.57,2.914,8.19,8.38,Cercozoa,Rhizaria,Cercozoa,,,,,,
8.38,14.54,2.908,8.305,8.385,Bacillariophyceae1,Chromista,Bacillariophyta,Bacillariophyceae,,,,,
7.96,14.46,2.892,7.83,8.16,Bacillariophycidae,Chromista,Bacillariophyta,Bacillariophyceae,,Bacillariophycidae,,,
7.96,13.75,2.75,7.81,8.16,Navicula,Chromista,Bacillariophyta,Bacillariophyceae,,Naviculaceae,Navicula,,
8,13.55,2.71,7.96,8.12,Stramenopiles,Chromista,Stramenopiles,,,,,,
7.01,13.38,2.676,6.985,7.53,Amastigomonas,Protozoa,,,Apusomonadida,,Amastigomonas,,
8.08,13.17,2.634,8,8.38,Delphineis,Chromista,Bacillariophyta,Fragilariophyceae,Rhaponeidales,Rhaphoneidaceae,Delphineis,,
7.01,13.07,2.614,7.009,7.96,Thalassiosira,Chromista,Bacillariophyta,Coscinodiscophyceae,,Thalassiosirophycidae,Thalassiosira,,
8,13.01,2.602,7.96,8.12,Bacillariophyceae2,Chromista,Bacillariophyta,Bacillariophyceae,,,,,
8,12.88,2.576,7.53,8.16,Foraminifera,Rhizaria,Foraminifera,,,,,,
8.16,12.74,2.548,8,8.29,Arthropoda1,Metazoa,Arthropoda,,,,,,
8.265,12.74,2.548,7.96,8.35,Arthropoda2,Metazoa,Arthropoda,,,,,,
8.08,12.65,2.53,7.96,8.3215,Bacillariophyta,Chromista,Bacillariophyta,,,,,,
